booking_id,date,year,month,month_name,season,day_of_week,day_name,is_weekend,is_public_holiday,time_slot,slot_hour,service_duration_mins,lead_time_days,customer_id,is_repeat_customer,is_cancelled,is_noshow,attended
BK00001,2024-01-01,2024,1,January,Winter,0,Monday,0,1,10:00,10,90,6,NC0350,0,0,0,1
BK00002,2024-01-01,2024,1,January,Winter,0,Monday,0,1,11:00,11,45,6,RC0001,1,0,0,1
BK00003,2024-01-01,2024,1,January,Winter,0,Monday,0,1,14:00,14,45,1,NC0312,0,1,0,0
BK00004,2024-01-02,2024,1,January,Winter,1,Tuesday,0,0,12:00,12,60,10,NC0036,0,1,0,0
BK00005,2024-01-03,2024,1,January,Winter,2,Wednesday,0,0,14:00,14,30,0,NC0118,0,0,0,1
BK00006,2024-01-04,2024,1,January,Winter,3,Thursday,0,0,13:00,13,45,1,NC0331,0,0,0,1
BK00007,2024-01-04,2024,1,January,Winter,3,Thursday,0,0,18:00,18,45,0,NC0282,0,0,1,0
BK00008,2024-01-04,2024,1,January,Winter,3,Thursday,0,0,19:00,19,45,0,NC0122,0,1,0,0
BK00009,2024-01-06,2024,1,January,Winter,5,Saturday,1,0,10:00,10,30,5,RC0065,1,0,0,1
BK00010,2024-01-07,2024,1,January,Winter,6,Sunday,1,0,09:00,9,60,0,NC0038,0,0,1,0
BK00011,2024-01-07,2024,1,January,Winter,6,Sunday,1,0,12:00,12,45,4,RC0009,1,0,0,1
BK00012,2024-01-07,2024,1,January,Winter,6,Sunday,1,0,16:00,16,30,10,NC0154,0,0,0,1
BK00013,2024-01-08,2024,1,January,Winter,0,Monday,0,0,17:00,17,30,0,NC0142,0,1,0,0
BK00014,2024-01-09,2024,1,January,Winter,1,Tuesday,0,0,09:00,9,60,6,NC0354,0,0,0,1
BK00015,2024-01-10,2024,1,January,Winter,2,Wednesday,0,0,10:00,10,30,6,NC0091,0,0,0,1
BK00016,2024-01-10,2024,1,January,Winter,2,Wednesday,0,0,17:00,17,60,1,NC0241,0,0,0,1
BK00017,2024-01-11,2024,1,January,Winter,3,Thursday,0,0,10:00,10,45,4,NC0180,0,0,0,1
BK00018,2024-01-11,2024,1,January,Winter,3,Thursday,0,0,12:00,12,120,3,NC0092,0,1,0,0
BK00019,2024-01-11,2024,1,January,Winter,3,Thursday,0,0,18:00,18,60,1,NC0098,0,1,0,0
BK00020,2024-01-12,2024,1,January,Winter,4,Friday,0,0,14:00,14,60,4,NC0170,0,1,0,0
BK00021,2024-01-12,2024,1,January,Winter,4,Friday,0,0,18:00,18,45,0,NC0284,0,0,0,1
BK00022,2024-01-13,2024,1,January,Winter,5,Saturday,1,0,10:00,10,90,3,RC0001,1,0,0,1
BK00023,2024-01-13,2024,1,January,Winter,5,Saturday,1,0,11:00,11,120,4,NC0262,0,0,0,1
BK00024,2024-01-14,2024,1,January,Winter,6,Sunday,1,0,15:00,15,90,7,NC0385,0,0,0,1
BK00025,2024-01-17,2024,1,January,Winter,2,Wednesday,0,0,13:00,13,60,6,NC0200,0,0,0,1
BK00026,2024-01-17,2024,1,January,Winter,2,Wednesday,0,0,16:00,16,60,7,RC0050,1,0,0,1
BK00027,2024-01-19,2024,1,January,Winter,4,Friday,0,0,17:00,17,30,5,RC0006,1,1,0,0
BK00028,2024-01-19,2024,1,January,Winter,4,Friday,0,0,19:00,19,45,1,NC0393,0,0,0,1
BK00029,2024-01-20,2024,1,January,Winter,5,Saturday,1,0,11:00,11,90,4,NC0193,0,1,0,0
BK00030,2024-01-20,2024,1,January,Winter,5,Saturday,1,0,14:00,14,30,5,NC0351,0,0,0,1
BK00031,2024-01-21,2024,1,January,Winter,6,Sunday,1,0,14:00,14,45,6,NC0276,0,0,0,1
BK00032,2024-01-22,2024,1,January,Winter,0,Monday,0,0,19:00,19,45,1,NC0044,0,0,0,1
BK00033,2024-01-24,2024,1,January,Winter,2,Wednesday,0,0,15:00,15,90,4,NC0142,0,0,0,1
BK00034,2024-01-24,2024,1,January,Winter,2,Wednesday,0,0,17:00,17,90,1,NC0065,0,0,0,1
BK00035,2024-01-24,2024,1,January,Winter,2,Wednesday,0,0,18:00,18,30,0,NC0252,0,1,0,0
BK00036,2024-01-25,2024,1,January,Winter,3,Thursday,0,0,11:00,11,60,5,NC0059,0,1,0,0
BK00037,2024-01-25,2024,1,January,Winter,3,Thursday,0,0,13:00,13,30,1,RC0073,1,0,0,1
BK00038,2024-01-25,2024,1,January,Winter,3,Thursday,0,0,17:00,17,90,4,NC0153,0,0,0,1
BK00039,2024-01-27,2024,1,January,Winter,5,Saturday,1,0,11:00,11,30,7,RC0020,1,1,0,0
BK00040,2024-01-27,2024,1,January,Winter,5,Saturday,1,0,12:00,12,60,10,NC0292,0,0,0,1
BK00041,2024-01-27,2024,1,January,Winter,5,Saturday,1,0,17:00,17,60,5,NC0138,0,1,0,0
BK00042,2024-01-28,2024,1,January,Winter,6,Sunday,1,0,09:00,9,60,5,NC0224,0,1,0,0
BK00043,2024-01-28,2024,1,January,Winter,6,Sunday,1,0,10:00,10,90,3,RC0014,1,0,0,1
BK00044,2024-01-29,2024,1,January,Winter,0,Monday,0,0,19:00,19,60,3,NC0312,0,1,0,0
BK00045,2024-01-30,2024,1,January,Winter,1,Tuesday,0,0,09:00,9,60,7,RC0029,1,1,0,0
BK00046,2024-01-31,2024,1,January,Winter,2,Wednesday,0,0,09:00,9,45,5,RC0054,1,1,0,0
